fp1,fp2,fp3
2022-06-24,MSU-horticulture-farm-bees-115816,41
2022-06-24,MSU-horticulture-farm-bees-115816,43
2022-06-24,MSU-horticulture-farm-bees-115816,51
2022-06-24,MSU-horticulture-farm-bees-115816,57
2022-06-24,MSU-horticulture-farm-bees-115816,70
2022-06-24,MSU-horticulture-farm-bees-115816,72
2022-06-24,MSU-horticulture-farm-bees-115816,76
2022-06-24,MSU-horticulture-farm-bees-115816,78
2022-06-24,MSU-horticulture-farm-bees-115816,91
2022-06-24,MSU-horticulture-farm-bees-115816,92
2022-06-24,MSU-horticulture-farm-bees-115816,96
2022-06-24,MSU-horticulture-farm-bees-115816,99
2022-06-24,MSU-horticulture-farm-bees-115816,104
2022-06-24,MSU-horticulture-farm-bees-115816,110
2022-06-24,MSU-horticulture-farm-bees-115816,124
2022-06-24,MSU-horticulture-farm-bees-115816,129
2022-06-24,MSU-horticulture-farm-bees-115816,130
2022-06-24,MSU-horticulture-farm-bees-115816,142
2022-06-24,MSU-horticulture-farm-bees-115816,144
2022-06-24,MSU-horticulture-farm-bees-115816,164
2022-06-24,MSU-horticulture-farm-bees-115816,167
2022-06-24,MSU-horticulture-farm-bees-115816,171
2022-06-24,MSU-horticulture-farm-bees-115816,173
2022-06-24,MSU-horticulture-farm-bees-115816,175
2022-06-24,MSU-horticulture-farm-bees-115816,178
2022-06-24,MSU-horticulture-farm-bees-115816,181
2022-06-24,MSU-horticulture-farm-bees-115816,186
2022-06-24,MSU-horticulture-farm-bees-115816,188
2022-06-24,MSU-horticulture-farm-bees-115816,196
2022-06-24,MSU-horticulture-farm-bees-115816,203
2022-06-24,MSU-horticulture-farm-bees-115816,210
2022-06-24,MSU-horticulture-farm-bees-115816,222
2022-06-24,MSU-horticulture-farm-bees-115816,227
2022-06-24,MSU-horticulture-farm-bees-115816,242
2022-06-24,MSU-horticulture-farm-bees-115816,245
2022-06-24,MSU-horticulture-farm-bees-115816,270
2022-06-24,MSU-horticulture-farm-bees-115816,271
2022-06-24,MSU-horticulture-farm-bees-115816,277
2022-06-24,MSU-horticulture-farm-bees-115816,281
2022-06-24,MSU-horticulture-farm-bees-115816,293
2022-06-24,MSU-horticulture-farm-bees-115816,298
2022-06-24,MSU-horticulture-farm-bees-115816,308
2022-06-24,MSU-horticulture-farm-bees-115816,312
2022-06-24,MSU-horticulture-farm-bees-115816,318
2022-06-24,MSU-horticulture-farm-bees-115816,326
2022-06-24,MSU-horticulture-farm-bees-115816,339
2022-06-24,MSU-horticulture-farm-bees-115816,341
2022-06-24,MSU-horticulture-farm-bees-115816,342
2022-06-24,MSU-horticulture-farm-bees-115816,343
